"","School","Degree","Job","Location","Salary","degreesector"
"1","Lehman College","Psychology","Government","Chicago",25850,"SocialSci"
"2","John Jay College","Psychology","Government","Chicago",113442,"SocialSci"
"3","College of Staten Island","Psychology","Government","Chicago",107248,"SocialSci"
"4","York College","Psychology","Government","New York City",190043,"SocialSci"
"5","Hunter College","Psychology","Coporate","New York City",134523,"SocialSci"
"6","Brooklyn College","Psychology","Coporate","New York City",186801,"SocialSci"
"7","City College of New York","Psychology","Coporate","New York City",33315,"SocialSci"
"8","Baruch College","Psychology","Coporate","New York City",219308,"SocialSci"
"9","Queens College","Psychology","Coporate","New York City",222595,"SocialSci"
"10","Lehman College","Psychology","Coporate","New York City",240188,"SocialSci"
"11","John Jay College","Psychology","Coporate","New York City",57592,"SocialSci"
"12","College of Staten Island","Psychology","Higher Education","New York City",213688,"SocialSci"
"13","York College","Psychology","Higher Education","New York City",57916,"SocialSci"
"14","Lehman College","Sociology","Government","New York City",145932,"SocialSci"
"15","John Jay College","Sociology","Government","New York City",205825,"SocialSci"
"16","College of Staten Island","Sociology","Government","New York City",169989,"SocialSci"
"17","York College","Sociology","Government","New York City",150342,"SocialSci"
"18","Hunter College","Sociology","Government","New York City",207220,"SocialSci"
"19","Brooklyn College","Sociology","Government","New York City",110536,"SocialSci"
"20","City College of New York","Sociology","Government","New York City",117404,"SocialSci"
"21","Baruch College","Sociology","Coporate","Washington D. C.",22648,"SocialSci"
"22","Queens College","Sociology","Coporate","Washington D. C.",246684,"SocialSci"
"23","Lehman College","Sociology","Coporate","Washington D. C.",133502,"SocialSci"
"24","Queens College","Psychology","Retail","Washington D. C.",243811,"SocialSci"
"25","Lehman College","Psychology","Degree Specific","Washington D. C.",241644,"SocialSci"
"26","John Jay College","Psychology","Degree Specific","Washington D. C.",59646,"SocialSci"
"27","College of Staten Island","Psychology","Degree Specific","Washington D. C.",13592,"SocialSci"
"28","York College","Psychology","Degree Specific","Washington D. C.",221577,"SocialSci"
"29","Hunter College","Psychology","Degree Specific","Washington D. C.",64499,"SocialSci"
"30","Brooklyn College","Psychology","Degree Specific","Chicago",202941,"SocialSci"
"31","City College of New York","Psychology","Degree Specific","Chicago",79066,"SocialSci"
